Date	Open	High	Low	Close	Aclose	Volume
Apr 16, 2020	287.38	288.20	282.35	286.69	286.69	38,845,800
Apr 15, 2020	282.40	286.33	280.63	284.43	284.43	32,788,600
Apr 14, 2020	280.00	288.25	278.05	287.05	287.05	48,748,700
Apr 13, 2020	268.31	273.70	265.83	273.25	273.25	32,755,700
Apr 09, 2020	268.70	270.07	264.70	267.99	267.99	40,529,100
Apr 08, 2020	262.74	267.37	261.23	266.07	266.07	42,223,800
Apr 07, 2020	270.80	271.70	259.00	259.43	259.43	50,721,800
Apr 06, 2020	250.90	263.11	249.38	262.47	262.47	50,455,100
Apr 03, 2020	242.80	245.70	238.97	241.41	241.41	32,470,000
Apr 02, 2020	240.34	245.15	236.90	244.93	244.93	41,483,500
Apr 01, 2020	246.50	248.72	239.13	240.91	240.91	44,054,600
Mar 31, 2020	255.60	262.49	252.00	254.29	254.29	49,250,500
Mar 30, 2020	250.74	255.52	249.40	254.81	254.81	41,994,100
Mar 27, 2020	252.75	255.87	247.05	247.74	247.74	51,054,200
Mar 26, 2020	246.52	258.68	246.36	258.44	258.44	63,021,800
Mar 25, 2020	250.75	258.25	244.30	245.52	245.52	75,900,500
Mar 24, 2020	236.36	247.69	234.30	246.88	246.88	71,882,800
Mar 23, 2020	228.08	228.50	212.61	224.37	224.37	84,188,200
Mar 20, 2020	247.18	251.83	228.00	229.24	229.24	100,423,300
Mar 19, 2020	247.39	252.84	242.61	244.78	244.78	67,964,300
Mar 18, 2020	239.77	250.00	237.12	246.67	246.67	75,058,400
Mar 17, 2020	247.51	257.61	238.40	252.86	252.86	81,014,000
Mar 16, 2020	241.95	259.08	240.00	242.21	242.21	80,605,900
Mar 13, 2020	264.89	279.92	252.95	277.97	277.97	92,683,000
Mar 12, 2020	255.94	270.00	248.00	248.23	248.23	104,618,500
Mar 11, 2020	277.39	281.22	271.86	275.43	275.43	63,899,700
Mar 10, 2020	277.14	286.44	269.37	285.34	285.34	71,322,500
Mar 09, 2020	263.75	278.09	263.00	266.17	266.17	71,686,200
Mar 06, 2020	282.00	290.82	281.23	289.03	289.03	56,544,200
Mar 05, 2020	295.52	299.55	291.41	292.92	292.92	46,893,200
Mar 04, 2020	296.44	303.40	293.13	302.74	302.74	54,794,600
Mar 03, 2020	303.67	304.00	285.80	289.32	289.32	79,868,900
Mar 02, 2020	282.28	301.44	277.72	298.81	298.81	85,349,300
Feb 28, 2020	257.26	278.41	256.37	273.36	273.36	106,721,200
Feb 27, 2020	281.10	286.00	272.96	273.52	273.52	80,151,400
Feb 26, 2020	286.53	297.88	286.50	292.65	292.65	49,513,700
Feb 25, 2020	300.95	302.53	286.13	288.08	288.08	57,668,400
Feb 24, 2020	297.26	304.18	289.23	298.18	298.18	55,548,800
Feb 21, 2020	318.62	320.45	310.50	313.05	313.05	32,388,500
Feb 20, 2020	322.63	324.65	318.21	320.30	320.30	25,141,500
Feb 19, 2020	320.00	324.57	320.00	323.62	323.62	23,496,000
