Date	Open	High	Low	Close	Aclose	Volume
Apr 16, 2020	1,274.10	1,279.00	1,242.62	1,263.47	1,263.47	2,507,100
Apr 15, 2020	1,245.61	1,280.46	1,240.40	1,262.47	1,262.47	1,671,700
Apr 14, 2020	1,245.09	1,282.07	1,236.93	1,269.23	1,269.23	2,470,400
Apr 13, 2020	1,209.18	1,220.51	1,187.60	1,217.56	1,217.56	1,739,800
Apr 09, 2020	1,224.08	1,225.57	1,196.73	1,211.45	1,211.45	2,175,400
Apr 08, 2020	1,206.50	1,219.07	1,188.16	1,210.28	1,210.28	1,975,100
Apr 07, 2020	1,221.00	1,225.00	1,182.23	1,186.51	1,186.51	2,387,300
Apr 06, 2020	1,138.00	1,194.66	1,130.94	1,186.92	1,186.92	2,664,700
Apr 03, 2020	1,119.02	1,123.54	1,079.81	1,097.88	1,097.88	2,313,400
Apr 02, 2020	1,098.26	1,126.86	1,096.40	1,120.84	1,120.84	1,964,900
Apr 01, 2020	1,122.00	1,129.69	1,097.45	1,105.62	1,105.62	2,344,200
Mar 31, 2020	1,147.30	1,175.31	1,138.14	1,162.81	1,162.81	2,486,400
Mar 30, 2020	1,125.04	1,151.63	1,096.48	1,146.82	1,146.82	2,574,100
Mar 27, 2020	1,125.67	1,150.67	1,105.91	1,110.71	1,110.71	3,208,500
Mar 26, 2020	1,111.80	1,169.97	1,093.53	1,161.75	1,161.75	3,571,700
Mar 25, 2020	1,126.47	1,148.90	1,086.01	1,102.49	1,102.49	4,081,500
Mar 24, 2020	1,103.77	1,135.00	1,090.62	1,134.46	1,134.46	3,344,500
Mar 23, 2020	1,061.32	1,071.32	1,013.54	1,056.62	1,056.62	4,044,100
Mar 20, 2020	1,135.72	1,143.99	1,065.49	1,072.32	1,072.32	3,601,800
Mar 19, 2020	1,093.05	1,157.97	1,060.11	1,115.29	1,115.29	3,651,100
Mar 18, 2020	1,056.51	1,106.50	1,037.28	1,096.80	1,096.80	4,233,400
Mar 17, 2020	1,093.11	1,130.86	1,056.01	1,119.80	1,119.80	3,861,500
Mar 16, 2020	1,096.00	1,152.27	1,074.44	1,084.33	1,084.33	4,252,400
Mar 13, 2020	1,179.00	1,219.76	1,117.14	1,219.73	1,219.73	3,700,100
Mar 12, 2020	1,126.00	1,193.87	1,113.30	1,114.91	1,114.91	4,226,700
Mar 11, 2020	1,249.70	1,260.96	1,196.07	1,215.41	1,215.41	2,608,500
Mar 10, 2020	1,260.00	1,281.15	1,218.77	1,280.39	1,280.39	2,611,400
Mar 09, 2020	1,205.30	1,254.76	1,200.00	1,215.56	1,215.56	3,365,400
Mar 06, 2020	1,277.06	1,306.22	1,261.05	1,298.41	1,298.41	2,660,600
Mar 05, 2020	1,350.20	1,358.91	1,305.10	1,319.04	1,319.04	2,561,300
Mar 04, 2020	1,359.23	1,388.09	1,343.11	1,386.52	1,386.52	1,913,300
Mar 03, 2020	1,399.42	1,410.15	1,332.00	1,341.39	1,341.39	2,402,300
Mar 02, 2020	1,351.61	1,390.87	1,326.81	1,389.11	1,389.11	2,431,500
Feb 28, 2020	1,277.50	1,341.14	1,271.00	1,339.33	1,339.33	3,790,600
Feb 27, 2020	1,362.06	1,371.70	1,317.17	1,318.09	1,318.09	2,978,300
Feb 26, 2020	1,396.14	1,415.70	1,379.00	1,393.18	1,393.18	2,202,400
Feb 25, 2020	1,433.00	1,438.14	1,382.40	1,388.45	1,388.45	2,478,300
Feb 24, 2020	1,426.11	1,436.97	1,411.39	1,421.59	1,421.59	2,867,100
Feb 21, 2020	1,508.03	1,512.21	1,480.44	1,485.11	1,485.11	1,731,700
Feb 20, 2020	1,522.00	1,529.64	1,506.82	1,518.15	1,518.15	1,096,600
Feb 19, 2020	1,525.07	1,532.11	1,521.40	1,526.69	1,526.69	949,300
Feb 18, 2020	1,515.00	1,531.63	1,512.59	1,519.67	1,519.67	1,120,700
Feb 14, 2020	1,515.60	1,520.74	1,507.34	1,520.74	1,520.74	1,197,800
Feb 13, 2020	1,512.69	1,527.18	1,504.60	1,514.66	1,514.66	929,500
Feb 12, 2020	1,514.48	1,520.69	1,508.11	1,518.27	1,518.27	1,167,600
Feb 11, 2020	1,511.81	1,529.63	1,505.64	1,508.79	1,508.79	1,344,600
Feb 10, 2020	1,474.32	1,509.50	1,474.32	1,508.68	1,508.68	1,419,900
Feb 07, 2020	1,467.30	1,485.84	1,466.35	1,479.23	1,479.23	1,172,300
Feb 06, 2020	1,450.33	1,482.00	1,449.57	1,476.23	1,476.23	1,679,400
Feb 05, 2020	1,462.42	1,463.84	1,430.56	1,448.23	1,448.23	1,986,200
Feb 04, 2020	1,457.07	1,469.50	1,426.30	1,447.07	1,447.07	3,933,000
Feb 03, 2020	1,462.00	1,490.00	1,458.99	1,485.94	1,485.94	3,055,200
Jan 31, 2020	1,468.90	1,470.13	1,428.53	1,434.23	1,434.23	2,417,200
Jan 30, 2020	1,439.96	1,457.28	1,436.40	1,455.84	1,455.84	1,339,400
Jan 29, 2020	1,458.80	1,465.43	1,446.74	1,458.63	1,458.63	1,077,700
Jan 28, 2020	1,443.00	1,456.00	1,432.47	1,452.56	1,452.56	1,577,400
Jan 27, 2020	1,431.00	1,438.07	1,421.20	1,433.90	1,433.90	1,755,200
Jan 24, 2020	1,493.59	1,495.49	1,465.25	1,466.71	1,466.71	1,784,600
Jan 23, 2020	1,487.64	1,495.52	1,482.10	1,486.65	1,486.65	1,351,200
Jan 22, 2020	1,491.00	1,503.21	1,484.93	1,485.95	1,485.95	1,610,800
Jan 21, 2020	1,479.12	1,491.85	1,471.20	1,484.40	1,484.40	2,036,700
Jan 17, 2020	1,462.91	1,481.30	1,458.22	1,480.39	1,480.39	2,396,200
Jan 16, 2020	1,447.44	1,451.99	1,440.92	1,451.70	1,451.70	1,173,700
Jan 15, 2020	1,430.21	1,441.40	1,430.21	1,439.20	1,439.20	1,282,700
Jan 14, 2020	1,439.01	1,441.80	1,428.37	1,430.88	1,430.88	1,558,900
Jan 13, 2020	1,436.13	1,440.52	1,426.02	1,439.23	1,439.23	1,652,300
Jan 10, 2020	1,427.56	1,434.93	1,418.35	1,429.73	1,429.73	1,820,700
Jan 09, 2020	1,420.57	1,427.33	1,410.27	1,419.83	1,419.83	1,500,900
Jan 08, 2020	1,392.08	1,411.58	1,390.84	1,404.32	1,404.32	1,528,000
Jan 07, 2020	1,397.94	1,402.99	1,390.38	1,393.34	1,393.34	1,502,700
Jan 06, 2020	1,350.00	1,396.50	1,350.00	1,394.21	1,394.21	1,732,300
Jan 03, 2020	1,347.86	1,372.50	1,345.54	1,360.66	1,360.66	1,186,400
Jan 02, 2020	1,341.55	1,368.14	1,341.55	1,367.37	1,367.37	1,406,600
Dec 31, 2019	1,330.11	1,338.00	1,329.08	1,337.02	1,337.02	961,800
Dec 30, 2019	1,350.00	1,353.00	1,334.02	1,336.14	1,336.14	1,050,900
Dec 27, 2019	1,362.99	1,364.53	1,349.31	1,351.89	1,351.89	1,038,400
Dec 26, 2019	1,346.17	1,361.33	1,344.47	1,360.40	1,360.40	667,500
Dec 24, 2019	1,348.50	1,350.26	1,342.78	1,343.56	1,343.56	347,500
Dec 23, 2019	1,355.87	1,359.80	1,346.51	1,348.84	1,348.84	883,100
Dec 20, 2019	1,363.35	1,363.64	1,349.00	1,349.59	1,349.59	3,315,000
Dec 19, 2019	1,351.82	1,358.10	1,348.98	1,356.04	1,356.04	1,469,900
Dec 18, 2019	1,356.60	1,360.47	1,351.00	1,352.62	1,352.62	1,522,600
Dec 17, 2019	1,362.89	1,365.00	1,351.32	1,355.12	1,355.12	1,854,000
Dec 16, 2019	1,356.50	1,364.68	1,352.67	1,361.17	1,361.17	1,397,300
Dec 13, 2019	1,347.95	1,353.09	1,343.87	1,347.83	1,347.83	1,549,600
Dec 12, 2019	1,345.94	1,355.78	1,340.50	1,350.27	1,350.27	1,281,000
