Date	Open	High	Low	Close	Aclose	Volume
Apr 16, 2020	716.94	759.45	706.72	745.21	745.21	20,217,700
Apr 15, 2020	742.00	753.13	710.00	729.83	729.83	23,577,000
Apr 14, 2020	698.97	741.88	692.43	709.89	709.89	30,576,500
Apr 13, 2020	590.16	652.00	580.53	650.95	650.95	22,475,400
Apr 09, 2020	562.09	575.18	557.11	573.00	573.00	13,650,000
Apr 08, 2020	554.20	557.21	533.33	548.84	548.84	12,656,000
Apr 07, 2020	545.00	565.00	532.34	545.45	545.45	17,919,800
Apr 06, 2020	511.20	521.00	497.96	516.24	516.24	14,901,800
Apr 03, 2020	509.50	515.49	468.39	480.01	480.01	22,562,100
Apr 02, 2020	481.03	494.26	446.40	454.47	454.47	19,858,400
Apr 01, 2020	504.00	513.95	475.10	481.56	481.56	13,353,200
Mar 31, 2020	501.25	542.96	497.00	524.00	524.00	17,771,500
Mar 30, 2020	510.26	516.65	491.23	502.13	502.13	11,998,100
Mar 27, 2020	505.00	525.80	494.03	514.36	514.36	14,377,400
Mar 26, 2020	547.39	560.00	512.25	528.16	528.16	17,380,700
Mar 25, 2020	545.25	557.00	511.11	539.25	539.25	21,222,700
Mar 24, 2020	477.30	513.69	474.00	505.00	505.00	22,895,200
Mar 23, 2020	433.60	442.00	410.50	434.29	434.29	16,454,500
Mar 20, 2020	438.20	477.00	425.79	427.53	427.53	28,285,500
Mar 19, 2020	374.70	452.00	358.46	427.64	427.64	30,195,500
Mar 18, 2020	389.00	404.86	350.51	361.22	361.22	23,786,200
Mar 17, 2020	440.01	471.85	396.00	430.20	430.20	23,994,600
Mar 16, 2020	469.50	494.87	442.17	445.07	445.07	20,489,500
Mar 13, 2020	595.00	607.57	502.00	546.62	546.62	22,640,300
Mar 12, 2020	580.89	594.50	546.25	560.55	560.55	18,909,100
Mar 11, 2020	640.20	653.58	613.00	634.23	634.23	13,322,500
Mar 10, 2020	659.43	668.00	608.00	645.33	645.33	15,594,400
Mar 09, 2020	605.39	663.00	605.00	608.00	608.00	17,073,700
Mar 06, 2020	690.00	707.00	684.27	703.48	703.48	12,662,900
Mar 05, 2020	723.77	745.75	718.07	724.54	724.54	10,852,700
Mar 04, 2020	763.96	766.52	724.73	749.50	749.50	15,049,000
Mar 03, 2020	805.00	806.98	716.11	745.51	745.51	25,784,000
Mar 02, 2020	711.26	743.69	686.67	743.62	743.62	20,195,000
Feb 28, 2020	629.70	690.52	611.52	667.99	667.99	24,564,200
Feb 27, 2020	730.00	739.77	669.00	679.00	679.00	24,277,200
Feb 26, 2020	782.50	813.31	776.11	778.80	778.80	14,085,500
Feb 25, 2020	849.00	856.60	787.00	799.91	799.91	17,290,500
Feb 24, 2020	839.00	863.50	822.20	833.79	833.79	15,192,200
Feb 21, 2020	906.98	913.06	880.45	901.00	901.00	14,314,800
Feb 20, 2020	911.95	912.00	859.94	899.41	899.41	17,634,900
Feb 19, 2020	923.50	944.78	901.02	917.42	917.42	25,423,000
Feb 18, 2020	841.60	860.00	832.36	858.40	858.40	16,381,700
Feb 14, 2020	787.22	812.97	785.50	800.03	800.03	15,693,700
Feb 13, 2020	741.84	818.00	735.00	804.00	804.00	26,289,300
Feb 12, 2020	777.87	789.75	763.37	767.29	767.29	12,022,500
Feb 11, 2020	768.79	783.51	758.00	774.38	774.38	11,697,500
Feb 10, 2020	800.00	819.99	752.40	771.28	771.28	24,689,200
Feb 07, 2020	730.55	769.75	730.00	748.07	748.07	17,063,500
Feb 06, 2020	699.92	795.83	687.00	748.96	748.96	39,880,800
Feb 05, 2020	823.26	845.98	704.11	734.70	734.70	48,423,800
Feb 04, 2020	882.96	968.99	833.88	887.06	887.06	60,938,800
Feb 03, 2020	673.69	786.14	673.52	780.00	780.00	47,233,500
Jan 31, 2020	640.00	653.00	632.52	650.57	650.57	15,719,300
Jan 30, 2020	632.42	650.88	618.00	640.81	640.81	29,005,700
Jan 29, 2020	575.69	589.80	567.43	580.99	580.99	17,801,500
Jan 28, 2020	568.49	576.81	558.08	566.90	566.90	11,788,500
Jan 27, 2020	541.99	564.44	539.28	558.02	558.02	13,608,100
Jan 24, 2020	570.63	573.86	554.26	564.82	564.82	14,353,600
Jan 23, 2020	564.25	582.00	555.60	572.20	572.20	19,651,000
Jan 22, 2020	571.89	594.50	559.10	569.56	569.56	31,369,000
Jan 21, 2020	530.25	548.58	528.41	547.20	547.20	17,803,500
Jan 17, 2020	507.61	515.67	503.16	510.50	510.50	13,629,100
Jan 16, 2020	493.75	514.46	492.17	513.49	513.49	21,736,700
Jan 15, 2020	529.76	537.84	516.79	518.50	518.50	17,368,800
Jan 14, 2020	544.26	547.41	524.90	537.92	537.92	28,996,200
Jan 13, 2020	493.50	525.63	492.00	524.86	524.86	26,517,600
Jan 10, 2020	481.79	484.94	473.70	478.15	478.15	12,959,500
Jan 09, 2020	497.10	498.80	472.87	481.34	481.34	28,440,400
Jan 08, 2020	473.70	498.49	468.23	492.14	492.14	31,144,300
Jan 07, 2020	461.40	471.63	453.36	469.06	469.06	17,882,100
Jan 06, 2020	440.47	451.56	440.00	451.54	451.54	10,133,000
Jan 03, 2020	440.50	454.00	436.92	443.01	443.01	17,778,500
Jan 02, 2020	424.50	430.70	421.71	430.26	430.26	9,532,100
Dec 31, 2019	405.00	421.29	402.08	418.33	418.33	10,285,700
Dec 30, 2019	428.79	429.00	409.26	414.70	414.70	12,586,400
Dec 27, 2019	435.00	435.31	426.11	430.38	430.38	9,945,700
Dec 26, 2019	427.91	433.48	426.35	430.94	430.94	10,633,900
Dec 24, 2019	418.36	425.47	412.69	425.25	425.25	8,054,700
Dec 23, 2019	411.78	422.01	410.00	419.22	419.22	13,319,600
Dec 20, 2019	410.29	413.00	400.19	405.59	405.59	14,752,700
Dec 19, 2019	397.32	406.85	396.50	404.04	404.04	18,107,100
Dec 18, 2019	380.63	395.22	380.58	393.15	393.15	14,121,000
Dec 17, 2019	378.99	385.50	375.90	378.99	378.99	8,496,800
Dec 16, 2019	362.55	383.61	362.50	381.50	381.50	18,174,200
Dec 13, 2019	361.05	365.21	354.64	358.39	358.39	6,570,900
Dec 12, 2019	354.92	362.74	353.23	359.68	359.68	7,763,900
Dec 11, 2019	351.88	357.19	351.09	352.70	352.70	6,897,800
Dec 10, 2019	339.96	350.73	339.31	348.84	348.84	8,828,300
Dec 09, 2019	336.59	344.45	335.08	339.53	339.53	9,023,100
Dec 06, 2019	335.00	338.86	334.77	335.89	335.89	7,612,400
Dec 05, 2019	332.83	334.42	327.25	330.37	330.37	3,724,600
Dec 04, 2019	337.75	337.86	332.85	333.03	333.03	5,533,000
Dec 03, 2019	332.62	337.91	332.19	336.20	336.20	6,573,700
Dec 02, 2019	329.40	336.38	328.69	334.87	334.87	6,074,500
Nov 29, 2019	331.11	331.26	327.50	329.94	329.94	2,465,600
Nov 27, 2019	331.12	333.93	328.57	331.29	331.29	5,555,600
Nov 26, 2019	335.27	335.50	327.10	328.92	328.92	7,947,400
Nov 25, 2019	344.32	344.57	334.46	336.34	336.34	12,339,500
Nov 22, 2019	340.16	341.00	330.00	333.04	333.04	16,870,600
Nov 21, 2019	354.51	360.84	354.00	354.83	354.83	6,110,000
Nov 20, 2019	360.00	361.20	349.57	352.22	352.22	6,725,100
Nov 19, 2019	351.75	359.99	347.80	359.52	359.52	7,724,800
Nov 18, 2019	352.92	353.15	346.10	349.99	349.99	4,400,400
Nov 15, 2019	350.64	352.80	348.36	352.17	352.17	4,809,000
Nov 14, 2019	346.11	353.84	342.91	349.35	349.35	6,464,900
Nov 13, 2019	355.00	356.33	345.18	346.11	346.11	8,420,100
Nov 12, 2019	346.90	350.37	344.04	349.93	349.93	7,359,400
Nov 11, 2019	343.95	349.19	342.00	345.09	345.09	9,986,700
Nov 08, 2019	334.50	337.46	332.50	337.14	337.14	6,069,200
Nov 07, 2019	329.14	341.50	328.02	335.54	335.54	14,467,300
Nov 06, 2019	318.00	326.72	314.50	326.58	326.58	7,940,900
Nov 05, 2019	319.62	323.51	316.12	317.22	317.22	6,943,400
Nov 04, 2019	314.80	321.94	309.26	317.47	317.47	8,787,000
Nov 01, 2019	316.32	316.48	309.80	313.31	313.31	6,383,900
Oct 31, 2019	313.10	319.00	313.00	314.92	314.92	5,067,000
Oct 30, 2019	313.00	318.79	309.97	315.01	315.01	9,641,800
Oct 29, 2019	319.99	324.30	314.75	316.22	316.22	12,684,300
Oct 28, 2019	327.54	340.84	322.60	327.71	327.71	18,870,300
Oct 25, 2019	297.72	330.00	296.11	328.13	328.13	30,006,100
Oct 24, 2019	298.37	304.93	289.20	299.68	299.68	29,720,900
Oct 23, 2019	254.50	256.14	251.35	254.68	254.68	5,261,100
Oct 22, 2019	254.32	258.33	250.85	255.58	255.58	4,600,800
Oct 21, 2019	258.33	259.50	250.18	253.50	253.50	5,020,300
Oct 18, 2019	260.70	262.80	255.10	256.95	256.95	5,749,800
Oct 17, 2019	262.50	264.78	260.17	261.97	261.97	4,769,300
Oct 16, 2019	257.39	262.10	256.92	259.75	259.75	6,684,100
Oct 15, 2019	257.70	260.00	254.12	257.89	257.89	6,432,800
Oct 14, 2019	247.90	258.55	247.13	256.96	256.96	10,205,000
Oct 11, 2019	247.15	251.08	246.81	247.89	247.89	8,475,400
Oct 10, 2019	245.28	249.28	241.58	244.74	244.74	6,283,300
Oct 09, 2019	241.32	247.30	240.65	244.53	244.53	6,894,400
Oct 08, 2019	235.87	243.94	234.50	240.05	240.05	8,678,200
Oct 07, 2019	229.80	238.56	228.55	237.72	237.72	8,064,200
Oct 04, 2019	231.61	234.78	228.07	231.43	231.43	7,995,000
Oct 03, 2019	231.86	234.48	224.28	233.03	233.03	15,084,500
Oct 02, 2019	243.29	244.65	239.43	243.13	243.13	5,631,400
Oct 01, 2019	241.50	245.95	239.13	244.69	244.69	6,162,600
Sep 30, 2019	243.00	243.98	236.11	240.87	240.87	5,879,800
Sep 27, 2019	242.20	248.71	238.73	242.13	242.13	11,116,400
Sep 26, 2019	230.66	243.31	227.40	242.56	242.56	11,884,500
Sep 25, 2019	224.56	228.98	218.36	228.70	228.70	9,427,100
Sep 24, 2019	241.52	241.99	222.61	223.21	223.21	12,891,500
Sep 23, 2019	240.00	245.18	239.22	241.23	241.23	4,340,200
Sep 20, 2019	246.49	246.95	238.16	240.62	240.62	6,353,000
Sep 19, 2019	246.00	247.94	244.84	246.60	246.60	4,795,800
Sep 18, 2019	245.00	248.17	242.37	243.49	243.49	4,170,200
Sep 17, 2019	242.47	245.60	240.37	244.79	244.79	3,865,400
Sep 16, 2019	246.00	247.43	241.17	242.81	242.81	4,728,100
Sep 13, 2019	246.96	248.45	244.87	245.20	245.20	5,313,100
Sep 12, 2019	247.70	253.50	244.40	245.87	245.87	8,581,200
Sep 11, 2019	237.38	248.17	236.00	247.10	247.10	10,042,800
Sep 10, 2019	230.80	235.54	228.94	235.54	235.54	4,883,700
Sep 09, 2019	230.00	233.76	229.23	231.79	231.79	4,802,700
Sep 06, 2019	227.20	229.64	225.17	227.45	227.45	4,189,400
Sep 05, 2019	222.50	229.80	220.85	229.58	229.58	7,395,300
Sep 04, 2019	226.89	228.46	219.21	220.68	220.68	5,761,000
Sep 03, 2019	224.08	228.95	223.16	225.01	225.01	5,354,100
Aug 30, 2019	229.15	232.44	224.21	225.61	225.61	9,320,600
Aug 29, 2019	219.00	223.40	218.00	221.71	221.71	5,179,500
Aug 28, 2019	213.69	217.25	212.31	215.59	215.59	3,225,500
Aug 27, 2019	215.74	218.80	212.03	214.08	214.08	5,416,200
Aug 26, 2019	213.60	215.02	211.54	215.00	215.00	5,051,900
Aug 23, 2019	219.97	221.17	211.00	211.40	211.40	8,538,600
Aug 22, 2019	222.80	225.40	218.22	222.15	222.15	6,559,000
Aug 21, 2019	222.01	223.22	217.60	220.83	220.83	7,794,300
Aug 20, 2019	227.62	229.09	224.54	225.86	225.86	4,125,200
Aug 19, 2019	224.21	227.83	221.70	226.83	226.83	5,309,600
Aug 16, 2019	216.66	222.24	216.02	219.94	219.94	5,098,500
Aug 15, 2019	220.86	221.56	211.55	215.64	215.64	8,159,600
Aug 14, 2019	231.21	231.50	216.69	219.62	219.62	9,562,600
Aug 13, 2019	228.81	236.00	227.55	235.00	235.00	4,848,100
Aug 12, 2019	232.99	235.77	228.75	229.01	229.01	4,663,900
Aug 09, 2019	236.05	238.96	233.81	235.01	235.01	3,898,200
Aug 08, 2019	234.45	239.80	232.65	238.30	238.30	5,274,300
Aug 07, 2019	226.50	233.57	225.80	233.42	233.42	4,776,500
Aug 06, 2019	231.88	232.50	225.75	230.75	230.75	5,564,200
Aug 05, 2019	229.60	231.37	225.78	228.32	228.32	7,028,300
Aug 02, 2019	231.35	236.27	229.23	234.34	234.34	6,136,500
Aug 01, 2019	242.65	244.51	231.77	233.85	233.85	8,259,500
Jul 31, 2019	243.00	246.68	236.65	241.61	241.61	9,178,200
Jul 30, 2019	232.90	243.36	232.18	242.26	242.26	8,109,000
Jul 29, 2019	227.09	235.94	226.03	235.77	235.77	9,273,300
Jul 26, 2019	226.92	230.26	222.25	228.04	228.04	10,027,700
Jul 25, 2019	233.50	234.50	225.55	228.82	228.82	22,418,300
Jul 24, 2019	259.17	266.07	258.16	264.88	264.88	11,072,800
Jul 23, 2019	256.71	260.48	254.50	260.17	260.17	5,023,100
Jul 22, 2019	258.75	262.15	254.19	255.68	255.68	6,842,400
Jul 19, 2019	255.69	259.96	254.62	258.18	258.18	7,048,400
Jul 18, 2019	255.05	255.75	251.89	253.54	253.54	4,764,500
Jul 17, 2019	255.67	258.31	253.35	254.86	254.86	9,764,700
Jul 16, 2019	249.30	253.53	247.93	252.38	252.38	8,149,000
Jul 15, 2019	248.00	254.42	244.86	253.50	253.50	11,000,100
Jul 12, 2019	239.75	245.38	239.71	245.08	245.08	9,200,500
Jul 11, 2019	238.14	241.50	235.80	238.60	238.60	7,514,400
Jul 09, 2019	228.97	231.00	227.28	230.06	230.06	6,190,800
Jul 08, 2019	231.24	232.25	228.66	230.34	230.34	5,880,500
Jul 05, 2019	234.57	235.45	230.80	233.10	233.10	7,065,700
Jul 03, 2019	239.39	241.57	234.51	234.90	234.90	14,201,100
Jul 02, 2019	228.89	229.15	222.22	224.55	224.55	9,259,000
Jul 01, 2019	230.21	233.10	226.28	227.17	227.17	8,238,000
Jun 28, 2019	220.99	225.17	220.80	223.46	223.46	6,851,400
Jun 27, 2019	219.45	222.90	217.35	222.84	222.84	6,339,700
Jun 26, 2019	220.31	227.23	218.10	219.27	219.27	8,507,200
Jun 25, 2019	224.39	225.34	219.49	219.76	219.76	6,182,100
Jun 24, 2019	223.24	225.86	221.02	223.64	223.64	5,750,800
Jun 21, 2019	216.22	222.18	215.50	221.86	221.86	8,202,100
Jun 20, 2019	223.00	226.90	216.35	219.62	219.62	11,863,500
Jun 19, 2019	225.11	227.77	221.06	226.43	226.43	6,575,100
Jun 18, 2019	228.72	234.74	222.56	224.74	224.74	12,715,800
Jun 17, 2019	215.48	227.00	214.27	225.03	225.03	12,316,800
Jun 14, 2019	211.25	216.65	210.40	214.92	214.92	7,433,400
Jun 13, 2019	210.38	214.90	207.51	213.91	213.91	8,168,300
